Type,Electrolyte,Potential [V],Period [s],Rat_first,Rat_first.1
Bicamada,KCl,-0.8,0.0010000000000000009,1.1238625547372647,0.023530962568770224
Bicamada,KCl,-0.8,0.001999999999999988,1.1956836208182826,0.06803367485597381
Bicamada,KCl,-0.8,0.0049999999999999906,1.3699712235970487,0.08502070722098025
Bicamada,KCl,-0.8,0.009999999999999995,1.2785407009218384,0.06225199539530363
Bicamada,KCl,-0.8,0.01999999999999999,1.2197857902767577,0.03037777555554169
Bicamada,KCl,-0.8,0.04000000000000001,1.150698404761571,0.06398349964345648
Bicamada,KCl,-0.8,0.04999999999999999,0.8039458405586067,0.01256356118277981
Bicamada,KCl,-0.8,0.07999999999999999,0.8841921572945428,0.04235706493797286
Bicamada,KCl,-0.8,0.1,0.9144210618717508,0.014152922075663349
Bicamada,KCl,-0.8,0.19999999999999998,0.9381546800308239,0.003575980327354317
Bicamada,KCl,-0.8,0.4,1.5668079647664304,0.06682303654867666
Bicamada,KCl,-0.8,0.5,1.370891500394601,0.1347160042750593
Bicamada,KCl,-0.8,0.75,1.1559499816304404,0.05441765489429552
Bicamada,KCl,-0.8,1.0,0.8873876671229448,0.079525598989768
Bicamada,KCl,-0.8,1.5,0.8213696309768616,0.026423455772987083
Bicamada,KCl,-0.8,2.0,0.8210062400381024,0.011228076166281492
