Type,Electrolyte,Potential [V],Period [s],Rat_first,Rat_first.1
Bicamada,KCl,0.8,0.0010000000000000009,0.5774982738567038,0.02594183604420318
Bicamada,KCl,0.8,0.001999999999999988,0.7658437045914686,0.04026768608024658
Bicamada,KCl,0.8,0.0049999999999999906,0.9053724660545214,0.02199890386106216
Bicamada,KCl,0.8,0.009999999999999995,0.9500976455929443,0.029312518209253836
Bicamada,KCl,0.8,0.01999999999999999,0.9653005977916386,0.015413778399472318
Bicamada,KCl,0.8,0.04000000000000001,0.9716451759489834,0.04167170911685579
Bicamada,KCl,0.8,0.04999999999999999,0.9785391320432253,0.010698577475990727
Bicamada,KCl,0.8,0.07999999999999999,0.9884275036890026,0.015250785702815562
Bicamada,KCl,0.8,0.1,0.9717194785994874,0.037451933855627804
Bicamada,KCl,0.8,0.19999999999999998,1.0175245740766232,0.08389096225689495
Bicamada,KCl,0.8,0.4,0.9853008207890864,0.022280222004640585
Bicamada,KCl,0.8,0.5,0.9793021193379632,0.037759710021621484
Bicamada,KCl,0.8,0.75,0.9911471228311853,0.017457087117524292
Bicamada,KCl,0.8,1.0,0.9808388772753909,0.033316599163864216
Bicamada,KCl,0.8,1.5,0.9947320786671435,0.029647047463386422
Bicamada,KCl,0.8,2.0,0.9954107135405758,0.01038607492980975
