Type,Electrolyte,Potential [V],Period [s],Rat_first,Rat_first.1
Cinco Camadas,KCl,0.5,0.0010000000000000009,0.6176103436230455,0.028209983380991472
Cinco Camadas,KCl,0.5,0.001999999999999988,0.8492453688006769,0.043478684904504884
Cinco Camadas,KCl,0.5,0.0049999999999999906,0.9534572733154426,0.06211223846507202
Cinco Camadas,KCl,0.5,0.009999999999999995,1.0154667749949828,0.018345277208424784
Cinco Camadas,KCl,0.5,0.01999999999999999,1.0018756366686576,0.049169507143295973
Cinco Camadas,KCl,0.5,0.04000000000000001,0.9626348604173409,0.020018013442473066
Cinco Camadas,KCl,0.5,0.04999999999999999,1.0075270081599212,0.03539155096891378
Cinco Camadas,KCl,0.5,0.07999999999999999,0.9841601069290138,0.02954365237094742
Cinco Camadas,KCl,0.5,0.1,0.9526839327304764,0.02188910084915508
Cinco Camadas,KCl,0.5,0.19999999999999998,1.0312958091798337,0.033401200567497354
Cinco Camadas,KCl,0.5,0.4,1.0128175772138794,0.010158585510724303
Cinco Camadas,KCl,0.5,0.5,0.9848891337524867,0.03529194416927615
Cinco Camadas,KCl,0.5,0.75,0.9922807940823516,0.023141400995285315
Cinco Camadas,KCl,0.5,1.0,0.9958103808802575,0.023280801622446397
Cinco Camadas,KCl,0.5,1.5,0.9920452586913223,0.030847701735982707
Cinco Camadas,KCl,0.5,2.0,0.9992550407785012,0.02818684199455104
