Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A],IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A],delIDS [A],delIDS [A],RatioIDS,RatioIDS
,,,,,mean,std,mean,std,mean,std,mean,std
Standard,KCl,-0.8,0.01,0.05,1.7589205157936826e-06,9.516495078113374e-07,1.7754505803012128e-06,9.905518093481306e-07,1.6530064507530324e-08,3.8993002807896264e-08,1.0038537668087864,0.01566826462842268
Standard,KCl,-0.8,0.01,0.1,4.6110180032467455e-06,9.665711192009039e-07,4.600750192595894e-06,9.63703044560881e-07,-1.0267810650851273e-08,3.746085681205286e-08,0.9978547365487461,0.009187768723139905
Standard,KCl,-0.8,0.1,0.05,2.635374018629408e-06,7.541488207179241e-07,2.636333606121091e-06,7.778718669565388e-07,9.595874916834052e-10,2.417036932597645e-08,0.998841182038983,0.008160333860549533
Standard,KCl,-0.8,0.1,0.1,4.712883486360612e-06,1.4497473329277196e-06,4.745751157684631e-06,1.4652282389844381e-06,3.286767132401835e-08,1.913741034810433e-08,1.0067802762590399,0.003030015037157253
Standard,KCl,-0.8,1.0,0.05,2.7327538666666667e-06,8.733380675611557e-07,2.7182099333333333e-06,8.720348171176732e-07,-1.4543933333333066e-08,2.1390524707293233e-08,0.994369138723127,0.009689453618325534
Standard,KCl,-0.8,1.0,0.1,4.849671933333335e-06,1.5705038529857401e-06,4.8960053999999995e-06,1.571234193149436e-06,4.633346666666569e-08,6.036878320235843e-09,1.0101309071704605,0.003110621490144686
Standard,KCl,-0.8,10.0,0.05,3.068176373918829e-06,8.771379149771768e-07,2.93740243512974e-06,8.417805372332089e-07,-1.307739387890886e-07,6.738772035345135e-08,0.9572315505783028,0.021865456514638365
Standard,KCl,-0.8,10.0,0.1,5.637726892880905e-06,1.7994120786277218e-06,5.4493874451097805e-06,1.7537251838050576e-06,-1.8833944777112411e-07,6.950713852061273e-08,0.9662401097294938,0.011154406723562814
Standard,KCl,-0.8,40.0,0.05,3.5875057407407405e-06,9.983740161106894e-07,3.025267195767196e-06,8.870351856399388e-07,-5.622385449735446e-07,1.3447303086967114e-07,0.8408939985635806,0.027382774039859534
Standard,KCl,-0.8,40.0,0.1,6.715929973544973e-06,2.267895047174475e-06,5.88751947089947e-06,2.087474108321677e-06,-8.284105026455035e-07,1.8240228547326613e-07,0.8737012319631029,0.01371360256578574
Standard,KCl,-0.7,0.01,0.05,1.790323660669066e-06,1.0172951061989507e-06,1.7838126124216983e-06,1.0105927244642913e-06,-6.511048247367694e-09,5.387639661592649e-08,0.9982513057896026,0.04458430496012445
Standard,KCl,-0.7,0.01,0.1,4.59289793158708e-06,9.847395126681619e-07,4.596822629476237e-06,9.766223829726225e-07,3.9246978891572264e-09,2.189535892419957e-08,1.001096398653693,0.005231291251030776
Standard,KCl,-0.7,0.01,0.2,1.0171845865653738e-05,3.4440485960785e-06,1.0121295838997734e-05,3.4199060897185914e-06,-5.055002665600504e-08,3.1958088040454197e-08,0.9952634608488427,0.0027207720109913387
Standard,KCl,-0.7,0.1,0.05,2.6241906986027937e-06,7.870420617077772e-07,2.61399873586161e-06,7.810155098989037e-07,-1.0191962741183671e-08,3.1009307477481385e-08,0.9964851897434942,0.014073562886334243
Standard,KCl,-0.7,0.1,0.1,4.682046087824352e-06,1.447093601157643e-06,4.6850680306054555e-06,1.4616265196417088e-06,3.0219427811044073e-09,3.5446886647813256e-08,1.0001091050334858,0.008862887657315995
Standard,KCl,-0.7,0.1,0.2,1.0573015921490351e-05,3.225278197762905e-06,1.0437936813040587e-05,3.2064410280187377e-06,-1.3507910844976638e-07,3.0839744182612185e-08,0.9867295935417234,0.0038260082769865904
Standard,KCl,-0.7,1.0,0.05,2.719721133333334e-06,8.355585769989882e-07,2.710977933333333e-06,8.09795175588848e-07,-8.743200000000166e-09,2.590975533732453e-08,0.9983646941653582,0.007875223076012173
Standard,KCl,-0.7,1.0,0.1,4.810333266666666e-06,1.561429375078057e-06,4.818439666666667e-06,1.6003038213715082e-06,8.106400000000036e-09,3.896103480607241e-08,1.000223970720994,0.0067948283479779
Standard,KCl,-0.7,1.0,0.2,1.0354916933333333e-05,3.222290221588622e-06,1.0177213266666665e-05,3.142266330129401e-06,-1.777036666666667e-07,8.01825738535087e-08,0.9833505059090871,0.0026431563894907246
Standard,KCl,-0.7,10.0,0.05,2.779987704590818e-06,7.769984200323882e-07,2.77533994677312e-06,8.021563197418166e-07,-4.647757817698065e-09,8.978929323797739e-08,0.9968084561066247,0.038548484972410216
Standard,KCl,-0.7,10.0,0.1,5.110113140385895e-06,1.6237041614131079e-06,5.175673938789088e-06,1.6483600800850495e-06,6.556079840319293e-08,3.039610332608995e-08,1.0127168326759108,0.004289920758447918
Standard,KCl,-0.7,10.0,0.2,1.0606477285429142e-05,3.240312111863357e-06,1.0359628456420495e-05,3.132513864790442e-06,-2.4684882900864895e-07,1.0967396794950148e-07,0.9772704035876142,0.003202766160135011
Standard,KCl,-0.7,40.0,0.05,3.18437164021164e-06,9.02271693737235e-07,3.0206946031746033e-06,8.253812307296994e-07,-1.6367703703703635e-07,9.177052056041828e-08,0.9501387113594967,0.018949620040173833
Standard,KCl,-0.7,40.0,0.1,5.962292962962962e-06,1.9440178568014354e-06,5.721667248677249e-06,1.913247966408668e-06,-2.4062571428571355e-07,6.582687694911328e-08,0.9580665802076719,0.014094349041392822
Standard,KCl,-0.7,40.0,0.2,1.1674114365079363e-05,3.6584589837972865e-06,1.0664344814814815e-05,3.3265631833927603e-06,-1.0097695502645489e-06,3.403413592656628e-07,0.9135976693778017,0.006978151371624235
Standard,KCl,-0.6,0.01,0.05,1.8044831772624283e-06,9.79533468076519e-07,1.8112722375049982e-06,1.032269860648103e-06,6.789060242569838e-09,5.31415463233267e-08,0.9947609104231526,0.026000689548195184
Standard,KCl,-0.6,0.01,0.1,4.600737527293422e-06,9.509117752349629e-07,4.608311475429558e-06,9.32357223747928e-07,7.57394813613593e-09,2.579676145628644e-08,1.0021902673699308,0.005795444027418015
Standard,KCl,-0.6,0.01,0.2,1.0221365917632948e-05,3.4407882686242895e-06,1.0213698383313344e-05,3.4288586293975253e-06,-7.667534319605982e-09,3.5861130272824754e-08,0.9993308915421033,0.0037323409068174235
Standard,KCl,-0.6,0.1,0.05,2.6463668396540253e-06,8.236343627606843e-07,2.65230755156354e-06,8.196061902047197e-07,5.9407119095144e-09,2.438118570341556e-08,1.0027580300409855,0.011379699318405694
Standard,KCl,-0.6,0.1,0.1,4.678033000665336e-06,1.4673312229858323e-06,4.670965914836993e-06,1.4895031467372775e-06,-7.0670858283434146e-09,2.3771837147841806e-08,0.9975152511593576,0.00516137450064638
Standard,KCl,-0.6,0.1,0.2,1.0573920964737193e-05,3.204144666835358e-06,1.0502706154357951e-05,3.1900727057663634e-06,-7.121481037924163e-08,1.886108999081939e-08,0.9930855003519645,0.0017051313576711264
Standard,KCl,-0.6,1.0,0.05,2.6617840666666667e-06,8.532602277322981e-07,2.6627376e-06,8.39623599352853e-07,9.535333333334105e-10,2.2332576344285355e-08,1.0014594975670674,0.009796380474955724
Standard,KCl,-0.6,1.0,0.1,4.7592316e-06,1.5760043034132992e-06,4.8019880000000004e-06,1.5787776399202906e-06,4.2756400000000626e-08,1.8369204739455464e-08,1.0094714634845319,0.005238959221629085
Standard,KCl,-0.6,1.0,0.2,1.0322412599999999e-05,3.2054544736974126e-06,1.0267578533333334e-05,3.169391677215307e-06,-5.483406666666506e-08,4.4369582024775157e-08,0.9951560653016945,0.0038623020924476096
Standard,KCl,-0.6,10.0,0.05,2.6205500532268794e-06,7.560131846872354e-07,2.691877258815702e-06,7.851046334326276e-07,7.132720558882254e-08,4.545375774690142e-08,1.0266862528083822,0.01654730210318316
Standard,KCl,-0.6,10.0,0.1,4.851611862940785e-06,1.5663939412592127e-06,4.9992158948769135e-06,1.5820407140696116e-06,1.4760403193612753e-07,1.8329884029933064e-08,1.0316877591998128,0.006291737305014393
Standard,KCl,-0.6,10.0,0.2,1.0109829627411843e-05,3.086507750747968e-06,1.015024119095143e-05,3.0635645848597575e-06,4.0411563539587286e-08,4.454282549645996e-08,1.0048011954588354,0.006253275324378999
Standard,KCl,-0.6,40.0,0.05,2.8849590211640214e-06,8.116825779097558e-07,2.857301904761905e-06,8.221649857839365e-07,-2.765711640211652e-08,9.040081893997722e-08,0.989440093953482,0.03776123980511326
Standard,KCl,-0.6,40.0,0.1,5.444112142857143e-06,1.7821617859895187e-06,5.455023994708994e-06,1.826863248314288e-06,1.0911851851851798e-08,4.471164684122968e-08,1.0005254694937384,0.006788603232523781
Standard,KCl,-0.6,40.0,0.2,1.0826032328042329e-05,3.379222253399432e-06,1.0550147671957674e-05,3.2839829083477054e-06,-2.758846560846546e-07,1.4983930180541952e-07,0.9744369015186325,0.012260463624469344
Standard,KCl,-0.5,0.01,0.05,1.7873985886978541e-06,1.0059669456595734e-06,1.801300799946688e-06,1.016299057383336e-06,1.390221124883364e-08,1.1674695235497563e-08,1.0073699568902386,0.004573336699625589
Standard,KCl,-0.5,0.01,0.1,4.600331283513789e-06,9.718950914120767e-07,4.597589443921691e-06,1.003861253873888e-06,-2.7418395920978803e-09,3.46977223251475e-08,0.9984799303585504,0.007473301746525504
Standard,KCl,-0.5,0.01,0.2,1.0249445970944957e-05,3.4213207136777994e-06,1.0267275345861654e-05,3.4527517382098976e-06,1.782937491669842e-08,3.7337831871191084e-08,1.0011304658860187,0.0038563466940328348
Standard,KCl,-0.5,0.01,0.4,1.9485990297214448e-05,6.601945301916704e-06,1.9559979674796748e-05,6.730063661815745e-06,7.398937758230277e-08,1.4564102628786935e-07,1.0027663300705594,0.005620656474805948
Standard,KCl,-0.5,0.1,0.05,2.613007338656021e-06,7.8043052186684e-07,2.6072173918829013e-06,7.816757078318348e-07,-5.789946773119899e-09,1.8636876743414835e-08,0.9976294043953832,0.008605160994590607
Standard,KCl,-0.5,0.1,0.1,4.667420751829674e-06,1.4786375157287225e-06,4.680459787092483e-06,1.4668845728519852e-06,1.3039035262807455e-08,2.3244208019279743e-08,1.003447667050077,0.006098701658228317
Standard,KCl,-0.5,0.1,0.2,1.0591709893546242e-05,3.253549471188305e-06,1.0555995316034598e-05,3.283085766587717e-06,-3.5714577511643376e-08,3.326301252293023e-08,0.9958064737278508,0.004607513678320753
Standard,KCl,-0.5,0.1,0.4,1.9650867731204256e-05,6.408332076713984e-06,1.9662798469727212e-05,6.476479290557886e-06,1.193073852295407e-08,8.423029488706869e-08,1.0000061124221005,0.0036968978241759005
Standard,KCl,-0.5,1.0,0.05,2.644537666666667e-06,8.567899032380184e-07,2.6744205333333337e-06,8.547121651473631e-07,2.988286666666669e-08,1.3028328445865165e-08,1.0121223980204521,0.00688546633675958
Standard,KCl,-0.5,1.0,0.1,4.762966733333334e-06,1.5293453257005933e-06,4.764477199999999e-06,1.5462786862305896e-06,1.5104666666664178e-09,2.6230176862791655e-08,0.9996563032558803,0.0060528726200707456
Standard,KCl,-0.5,1.0,0.2,1.0297697199999998e-05,3.202271401662487e-06,1.0297221933333332e-05,3.167759520488147e-06,-4.75266666666419e-10,3.462929197100588e-08,1.0006528341848753,0.003482872779100135
Standard,KCl,-0.5,1.0,0.4,1.9470688666666667e-05,6.462485284385362e-06,1.9411567333333332e-05,6.416105563790025e-06,-5.9121333333335325e-08,6.946755260791765e-08,0.9973467032145406,0.0037548827402103285
Standard,KCl,-0.5,10.0,0.05,2.627355089820359e-06,7.40267453181955e-07,2.6724612974051896e-06,7.792357737958379e-07,4.510620758483019e-08,4.82402925711658e-08,1.015534801660259,0.015757560974808352
Standard,KCl,-0.5,10.0,0.1,4.7499471257485025e-06,1.5639003689876671e-06,4.8759455888223555e-06,1.6183594561769104e-06,1.2599846307385256e-07,7.107364055562886e-08,1.0261122478013245,0.012060807520397853
Standard,KCl,-0.5,10.0,0.2,9.873335049900202e-06,2.980795871024568e-06,1.0001008556220893e-05,3.0150007186099317e-06,1.2767350632069193e-07,3.5121194941294416e-08,1.0130407446846657,0.0011358191858177047
Standard,KCl,-0.5,10.0,0.4,1.9510832069194942e-05,6.342803253932541e-06,1.9621627411842983e-05,6.359849070707407e-06,1.1079534264803679e-07,4.638860940179336e-08,1.005945794361648,0.0030191419037625448
Standard,KCl,-0.5,40.0,0.05,2.749918888888889e-06,7.995286843698506e-07,2.7847040476190474e-06,8.073004411844157e-07,3.47851587301583e-08,5.635402460794178e-08,1.0126602468694623,0.024145521668289083
Standard,KCl,-0.5,40.0,0.1,5.1789180687830705e-06,1.6463725914431986e-06,5.293933730158731e-06,1.7489908362262854e-06,1.150156613756605e-07,1.0420549302110012e-07,1.0198071863794755,0.012019370925333067
Standard,KCl,-0.5,40.0,0.2,1.0163790132275132e-05,3.185533687305129e-06,1.0262090185185184e-05,3.2314921525591927e-06,9.83000529100521e-08,5.106782445443981e-08,1.009313991817709,0.003270147412633206
Standard,KCl,-0.5,40.0,0.4,2.0359364550264554e-05,6.844641581596367e-06,1.9937375925925926e-05,6.6614414822788125e-06,-4.219886243386277e-07,1.863236738246714e-07,0.9796537831361724,0.0024000288074624383
Standard,KCl,-0.4,0.01,0.05,1.8191989208316675e-06,1.0291853458023066e-06,1.8251189241103558e-06,1.0040841813619433e-06,5.920003278688359e-09,2.6634421861187004e-08,1.0084786587061239,0.015182181532521778
Standard,KCl,-0.4,0.01,0.1,4.607816117313656e-06,9.886992046889235e-07,4.583462941450094e-06,9.792167958798349e-07,-2.43531758635616e-08,2.4853257125932174e-08,0.9948334402607198,0.005706109526984116
Standard,KCl,-0.4,0.01,0.2,1.0383895332533655e-05,3.505871749771695e-06,1.0381594802079168e-05,3.520538750273147e-06,-2.30053045448567e-09,1.4901203963598184e-08,0.9994617461825493,0.0014080582650076666
Standard,KCl,-0.4,0.01,0.4,1.971696711981874e-05,6.672016700933173e-06,1.9785412741570042e-05,6.710968659744221e-06,6.844562175129986e-08,5.225444118964312e-08,1.0033640045381913,0.0019799380934435776
Standard,KCl,-0.4,0.1,0.05,2.5995396806387228e-06,7.935821804308906e-07,2.6108975582169e-06,8.163916895160445e-07,1.135787757817678e-08,3.2391300551110206e-08,1.0031034239247503,0.012240435537549285
Standard,KCl,-0.4,0.1,0.1,4.674796826347305e-06,1.4496618494605658e-06,4.663217085828343e-06,1.4761969736411098e-06,-1.1579740518962628e-08,2.653522618560782e-08,0.9963278450712698,0.005780897643581101
Standard,KCl,-0.4,0.1,0.2,1.0617423186959415e-05,3.2455729192006354e-06,1.0629684797072524e-05,3.2442597631600395e-06,1.2261610113108135e-08,2.4925268087234936e-08,1.0011778264499562,0.0026050706643331776
Standard,KCl,-0.4,0.1,0.4,1.9755840785096473e-05,6.405342359988205e-06,1.9816436793080503e-05,6.507484421546869e-06,6.059600798403013e-08,1.341817089698446e-07,1.002347080368901,0.005610084075555752
Standard,KCl,-0.4,1.0,0.05,2.6702880666666664e-06,8.321540321987112e-07,2.679428e-06,8.409594305296539e-07,9.139933333333396e-09,8.81265572079921e-09,1.0030063446625628,0.00200606640231011
Standard,KCl,-0.4,1.0,0.1,4.719654533333333e-06,1.5255788979818688e-06,4.769087733333333e-06,1.5418141082211615e-06,4.943320000000019e-08,1.7323880549114878e-08,1.0104588015409657,0.0015844154951471063
Standard,KCl,-0.4,1.0,0.2,1.0325911466666667e-05,3.1751343244015134e-06,1.0330281133333333e-05,3.2093233446622628e-06,4.36966666666623e-09,4.299360999233765e-08,0.9998604480676617,0.0035925832273490765
Standard,KCl,-0.4,1.0,0.4,1.9504864666666668e-05,6.49078146795941e-06,1.9484441333333335e-05,6.468626297272189e-06,-2.0423333333332827e-08,2.7999772451456176e-08,0.9991520346995869,0.0014618747365618327
Standard,KCl,-0.4,10.0,0.05,2.590450392548237e-06,7.827551167001877e-07,2.6431863539587497e-06,7.501244611150666e-07,5.273596141051224e-08,3.610776772995539e-08,1.0237352773714845,0.01799519605523869
Standard,KCl,-0.4,10.0,0.1,4.717570765136394e-06,1.50431644346474e-06,4.815817345309381e-06,1.535494086298913e-06,9.824658017298659e-08,3.207478919911834e-08,1.020842435969895,0.0019768328320883617
Standard,KCl,-0.4,10.0,0.2,9.822913932135727e-06,2.9976798759216054e-06,9.961535056553561e-06,3.0182596552466643e-06,1.3862112441783183e-07,2.2907813215722532e-08,1.0145196279367068,0.0021728402742903397
Standard,KCl,-0.4,10.0,0.4,1.934003226879574e-05,6.337325317231179e-06,1.9554656353958752e-05,6.324799920231174e-06,2.1462408516300743e-07,3.915655695155585e-08,1.0120442341184177,0.005194173706048558
Standard,KCl,-0.4,40.0,0.05,2.718003412698413e-06,8.237532042859891e-07,2.742003253968254e-06,8.282953437394856e-07,2.39998412698414e-08,6.238922922088786e-08,1.0088403974502194,0.02736922769982149
